Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,hourly,employer_provided,min_salary,max_salary,avg_salary,company_txt,job_state,age,javascript_yn,rest_yn,spark,angular,react,scala,cpp,python
Software Engineer,$44K-$95K (Glassdoor est.),"Why You'll Love Working Here:
Being a TechSmithie allows you to work creatively to solve real problems for people and businesses in an innovative and collaborative environment. We are a home-grown, mid-sized company that has achieved global success. We help people “show what they know” using our screen capture and video creation software. Camtasia and Snagit are used by over 30 million professionals, from individuals to Fortune 500 Companies.

TechSmith’s top priority is the safety and well-being of our employees. As such, we’ve temporarily moved our operations to working remote. All incoming employees will also be remote to start. However, when it is deemed safe and necessary per our leadership for our staff to come back to our campus in Okemos, MI, it may be required for any incoming staff to do the same. Someone interested in this role would need to be able to adapt to the current remote environment need, and future on-campus environment need in order to be considered for the role. At this work on our campus will not resume for the remainder of 2020
Position Overview:
As a Windows Software Engineer at TechSmith, you will be putting your problem-solving skills and passion for developing great software to use every day. You will work within a team, building world-class software products, on multiple platforms, in a fun, collaborative environment. Responsibilities include: participating in an agile team, programming, estimating upcoming work, reviewing completed work with teammates, as well as other duties, as assigned. If you love technology, finding solutions, and making people happy—you will fit right in.

At TechSmith, every individual can make a big impact, while working in a supportive team environment. As part of an agile team, you will have a voice in helping to decide what assignments the team tackles. While working directly with User Experience Designers and Product Owners, you will help to decide how to solve our customer’s requests. With the help of Software Test Specialists and your teammates, you will have the time and support to fully test your solutions and create quality work. When you are not coding solutions for customer problems, you will have the time to advance your skills and your career with the help and support of your programming lead and manager. The TechSmith agile process is set up to give you the opportunity to dedicate entire sprints to innovation, self-guided work, or professional development multiple times a year.
Required Skills and Background:

Bachelor's Degree in Computer Science, or a closely related field, with at least 6 months experience developing software in internships, team projects, or personally developed software applications. For individuals without a Bachelor’s Degree in Computer Science, or a closely related field, 3 years experience
Demonstrable experience in at least one of the following languages: C++, C#, Objective-C, Objective-C++, Swift, and/or Java.
Strong understanding of computer science fundamentals, data structures, and algorithms
Demonstrable experience collaborating on a team-building software
TechSmith’s top priority is the safety and well-being of our employees. We’ve temporarily moved our operations to work fully remote. Candidates must have the ability to work in a remote environment and, when deemed safe, be willing to commute to TechSmith’s office in the Lansing Michigan area. Candidates must be willing to move to Michigan before starting their new position
You must be legally authorized to work in the United States without an employer-sponsored petition for a visa, such as an H-1B visa. TechSmith does not intend to file any visa applications in connection with this opening.
Prefer demonstrable experience with some of the following:
C# and/or C++
Automated testing frameworks, writing automated tests, and test-driven development
The Agile development processes
Working with a diverse set of people from multiple disciplines
Developing commercial software
Developing multimedia software
Working on large codebases collaborating with multiple people spread out across several teams
Using quality practices to develop software including: Using distributed source control, participating in code reviews, pair programming, and software testing.
Compensation and Perks:
At TechSmith, we love our employees and are always looking for ways to reward outstanding performance. Our compensation is competitive and based on skills and experience. As a full-time employee you will receive the standard TechSmith benefits package including health insurance, paid time off, 401(k) program, etc. A casual work environment, company sponsored events, free Friday lunches, and kitchens stocked with snacks and soft drinks are just a few of our additional perks. We offer you a unique and growing company value where you can enjoy your work and advance your career. If this sounds like a place you would like to work, please submit your resume and cover letter.
TechSmith Corporation is an equal opportunity employer and will consider all candidates for employment without regard to race, color, religion, sex, national origin, age, sexual orientation, gender identity, disability status, protected veteran status, or any other characteristic protected by law.
If you have a disability and require reasonable accommodation for any part of the employment process, please call 517-381-2300 x212, or email recruiters@techsmith.com with a description of your request and contact information.",4.3,"TechSmith Corporation
4.3","Okemos, MI",201 to 500 Employees,1987,Company - Private,Computer Hardware & Software,Information Technology,$50 to $100 million (USD),0,0,44,95,69.5,"TechSmith Corporation
", MI,33,0,1,0,0,0,0,0,0
Software Engineer,$60K-$125K (Glassdoor est.),"Software Engineer

Job Description

SOFTWARE ENGINEER – COSTAR REAL ESTATE MANAGER – ATLANTA, GA
OVERVIEW
CoStar Group is the world’s leading provider of information and marketing solutions for the Commercial Real Estate industry. We are a NASDAQ listed company with a market cap of over US$30B and sit alongside other notable names such as Amazon, Facebook, Google and Apple.
As a technology company, we are the trusted partner for all commercial real estate professionals empowering many of the most well-respected landlords, development companies, brokerage firms, banks, lenders, investors and government agencies.
We do this by actively researching the commercial real estate markets and providing data, analytics, innovative tools and powerful marketing platforms in the U.S. and Internationally to help our clients transact with one another. CoStar continues to win multiple awards including one of Forbes most innovative companies (2017) and Fortune’s fastest growing companies (2018).
CoStar Real Estate Manager is seeking an experienced software engineer to drive the full-lifecycle development design and ownership of web-based applications. This role will collaborate closely with technical leadership, product owners and other developers. You will work with a broad range of technologies and will be integral in driving products while proving the best experience in the industry.
RESPONSIBILITIES
Craft elegant and extensible solutions, at scale, using modern Front-End frameworks and technologies to deliver features that people interact with, and rely on, every day.
Manage and drive complex technical projects from the planning stage through to execution.
Collaborate closely with other Software Engineers across the organization.
Advocate standards-driven technology.
BASIC QUALIFICATIONS
Bachelor’s Degree
Professional software development experience with front end frameworks such as Angular
Experience with TypeScript, EcmaScript Webpack, NodeJS
Software development experience in JavaScript, HTML5 and CSS preprocessors
Experience working with Data Structures or Algorithms
Experience with browser-based development tools
Experience with Source Control, such as Git or TFS
PREFERRED QUALIFCATIONS AND SKILLS
Experience including cross platform communication technologies such as Web API or .Net Core is a plus.
Experience with C#, VB is a plus
Experience with testing frameworks such as Karma and Jasmine.
WHY COSTAR?
The industry leader with an energetic and fast paced dynamic culture
Innovative technology and a reputation for outstanding products
95% customer renewal rate
Consistent 20%+ average of year over year growth
Outstanding sales and product training programs
Excellent career growth opportunities
High compensation with uncapped commissions and an outstanding annual Presidents Club trip
Exceptional benefit plan including an employee discounted stock purchase plan
Be part of a team of sales professionals enjoying the opportunity to learn, do, and grow in a rewarding atmosphere. But don't just take our word for it - see why our team chose to work at and stay at CoStar Group:",3.0,"CoStar Group
3.0","Atlanta, GA",1001 to 5000 Employees,1987,Company - Public,Computer Hardware & Software,Information Technology,$1 to $2 billion (USD),0,0,60,125,92.5,"CoStar Group
", GA,33,1,0,0,1,0,0,0,0
Software Engineer,$42K-$90K (Glassdoor est.),"What you will be doing

The Software Engineer ﻿will apply standard programming procedures and has detailed knowledge of pertinent domain subject matter. The person in this role will work on increasingly complex projects or project components where work is usually oriented toward combing the business and technical aspects of the project.

Responsibilities may include, but are not limited to, the following

Working to approved statements of requirements and detailed specifications
Developing, modifying and maintaining assigned programs
Supporting, updating and revising existing applications, programs, interfaces and vendor software
Managing the full software development life cycle including conception, requirement analysis, specification design, coding, acceptance, testing, implementation and training
Participating on development projects teams or managing development independently
Providing timely and high quality information including client data support and
documentation for applications and systems
Why we are different

Paid time off plus paid company holidays
Profit sharing plan and 401(k)
Paid community service hours
Wellness program
Free onsite medical clinic
Learn more about our associate benefits and perks focused on you
What you need to be successful

A bachelor's degree or equivalent business experience
At least nine years of software engineer experience
Experience in developing and coding industry strength insurance applications utilizing a subset of the following technologies
Advanced experience with the programming languages & environments:
COBOL
PL/1
JCL
SQL
IBM 3270 (TSO) DB2 Stored Procedures
IBM FOCUS
IMS
CICS
Experience with the programming languages & technologies a plus:
Java
Windows batch
Korn shell
SOAP/REST Webservices
IBM Data Stage
IBM Quality Stage
ETL (SAP Data Services)
Requires experience in utilizing a subset of development tools/utilities:
Changeman
Xpediter
Ice Tool / Sort Utility
DB2 Workbench / SPUFI
File Aid Product Suite
JIRA
ServiceNow
Extensive knowledge of using the following database platforms:
DB2
VSAM
SQL Server
Experience with the following software packages and business knowledge will be a plus:
Computer Sciences Corporation (CSC) -- Performance Plus package -- Commissions
Tindell Associates Inc (TAI) - .Net Reinsurance package
Knowledge in dealing with Agencies Hierarchies
Knowledge in Commission (including Campaigns, Persistency, Bonus, etc.)
Working knowledge of relational Database Design in DB2 and query optimization techniques
Knowledge of MAR and SOX compliance as it pertains to application development and security
Advanced knowledge of the following:
Software engineering principles and practices
Software development life cycle
Mainframe and or distributed environments
Database design and application techniques in a database environment
Programming languages, program development tools and operating systems
Methodologies in additional application areas, such as object oriented programming and open systems concepts
Ability to interpret/apply business requirements to functional requirements
Experience with the following:
Development languages, technologies and standards
Release management tools and technologies
Use of an integration with data management technologies
Code testing practices, techniques and technologies
Ability to utilize industry development platforms
Source control practices
Data application security
Technical documentation
Ability to analyze, problem solve and troubleshoot
Ability to identify and write specifications
What your work environment will look like

Ability to work from home with company provided equipment
Utilize Microsoft Teams and Zoom
Keep updated with what is going on with the company through emails, podcasts, videos, etc.
Receive management support
Learn more about Ohio National on our YouTube Channel
Equal Opportunity Employer Minorities/Women/Protected Veterans/Disabled",3.2,"Ohio National Financial Services
3.2","Cincinnati, OH",501 to 1000 Employees,1909,Company - Private,Insurance Agencies & Brokerages,Insurance,$100 to $500 million (USD),0,0,42,90,66.0,"Ohio National Financial Services
", OH,111,0,1,0,0,0,0,0,0
Apple iOs Software Engineer,$65K-$122K (Glassdoor est.),"SP Global, Inc
SP Global, Inc's mission is to identify and support the growth of Societal Enhancement Technology Solutions- technology solutions that help improve people's lives while making communities stronger and more resilient. We deliver the technology solutions and implementation experience making major impacts in people's lives across the globe and right here in your neighborhood.
Job Summary:
As a member of the growing SP Global, Inc Software Team, you will work on a team of experienced engineers to build modern web based, cloud and mobile applications and systems. Utilize best practice software engineering principles to ensure the creation of high-quality software that is reliable, maintainable, and highly performant. This position will support full lifecycle development from requirements analysis to operational deployment and sustainment as a part of an agile interdisciplinary team of engineers. This will position will also support multiple projects as needed as a part of a single team.
Primary Job Responsibilities:
Work across multiple projects supporting various software applications focused but not limited to mobile (primarily iOS) development
Actively participate in an interdisciplinary scrum team
Conduct design, development, test, and documentation tasks
Utilize Jira, Confluence, GitLab, and other development tools to work with in the team
Support operational deployment to Amazon Web Services (AWS)
Qualifications: To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and /or ability required. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
Required Skills, Knowledge and Abilities:
At least 2 years of mobile application development in iOS technologies (preferably Swift) with specific experience developing operational, production ready mobile applications
At least 5 years of software development experience with Java
At least 3 years of experience working in an Agile development team
At least 1 year of experience with data synchronization to the cloud services
Desired Skills, Knowledge and Abilities:
At least 1 year of experience developing app with connectivity to Bluetooth devices
At least 3 years of experience with productivity tools (Jira, Confluence)
At least 1 year of experience working with cloud technologies (AWS, Azure)
Education and Experience:
BS in Computer Science, Computer Engineering, Information Technology or Related Degree desired but not required
Physical Demands: The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
Work Environment: The work environment characteristics described here are representative of those an employee encounters while performing the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions within this work environment.
Travel Requirements: May require minimal travel to other SP Global locations
Equal Opportunity Employment Statement:
SP Global, Inc. provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws.
This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation, and training
Job Type: Full-time
Pay: $0.00 per hour
Experience:
data synchronization to cloud services: 1 year (Required)
working in Agile SWD environment: 3 years (Required)
iOS : 2 years (Required)
SW Dev with Java : 5 years (Required)
Visa Sponsorship Potentially Available:
No: Not providing sponsorship for this job
This Job Is:
A job for which military experienced candidates are encouraged to apply
A job for which all ages, including older job seekers, are encouraged to apply
Open to applicants who do not have a college diploma
A job for which people with disabilities are encouraged to apply
Company's website:
www.spglobalinc.com
Benefit Conditions:
Waiting period may apply
Only full-time employees eligible
Work Remotely:
Yes, temporarily due to COVID-19",3.8,"SP Global, Inc.
3.8","Dayton, OH",10000+ Employees,1888,Company - Public,Financial Analytics & Research,Finance,$5 to $10 billion (USD),0,0,65,122,93.5,"SP Global, Inc.
", OH,132,0,0,0,0,0,0,0,0
Software Engineer,$47K-$100K (Glassdoor est.),"Role Overview
The Financial Services Group at SS&C is currently hiring a Software Engineer. This engineer will be responsible for analyzing, designing, and modifying programming software enhancements and/or new products used in local, networked, cloud-based or Internet related computer programs.
Responsibilities:
Implement new features and remediate bugs on client-facing web applications
Implement industry-wide best practices in fluid, mobile-first responsive design
Participate in Agile scrum ceremonies (including daily stand ups, story pointing, sprint reviews, etc.)
Work closely with Project Managers, Business Analysts and Quality Assurance staff throughout the software development lifecycle
Consult on project estimates and user experience reviews
Help mentor and train other development staff
Keep current on technical documentation for new front-end technologies and communicate an understanding to leadership
Minimum Qualifications :
Bachelor’s degree and 3 years of work-related experience, or 5 years equivalent work-related experience
2+ years in frontend user-interface/experience
Demonstrated programming experience on enterprise-level applications written in Java, JavaScript, HTML and CSS
A strong portfolio demonstrating past development experiences and deliverables
Experience with modern, component-based JavaScript frameworks (e.g. Angular, React)
Experience with response, grid-based CSS layout frameworks (e.g. Bootstrap, Material)
Previous integration experience with JSON and RESTful based services
Experience with SQL
Effective interpersonal communication across various levels of the organization, external customers and vendors
Proven ability to deliver within a small, focused, development team in a fast-moving environment
You are proactive, assertive, and have a great attitude!
Preferred Qualifications:
Experience working with JIRA, Spring Source Tool Suite (Eclipse)
Experience working with GIT
Familiarity with Java-based template engine such as Velocity
Familiarity and understanding of ADA accessibility guidelines and analysis tools
Experience working with senior leadership
Understanding of Token-based authentication, Web Forms Security and user authentication
Knowledge of Spring Security, Spring Batch and Spring Boot a plus
Location:
Kansas City Missouri
SS&C is an equal opportunity employer and values a diverse and inclusive workplace. All qualified candidates will receive consideration for employment without regard to age, race, color, religion, genetic information, sex, sexual orientation, gender identity, national origin, disability status, protected veteran status, or any other characteristic protected by law. For more information about Equal Opportunity in the Workplace please click here and here . SS&C is committed to working with and providing reasonable accommodation to job applicants with disabilities. If you are a qualified individual with a disability and need an accommodation or accessibility assistance to complete the online application, please contact us at PeopleCenter@dstsystems.com for assistance.",3.0,"DST Systems
3.0","Kansas City, MO",10000+ Employees,1986,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),0,0,47,100,73.5,"DST Systems
", MO,34,1,1,0,1,1,0,0,0
Principal Software Engineer,$70K-$142K (Glassdoor est.),"Secure our Nation, Ignite your Future
Become an integral part of a diverse team while working at an Industry Leading Organization, where our employees come first. At ManTech International Corporation, you’ll help protect our national security while working on innovative projects that offer opportunities for advancement.
Currently, ManTech is seeking a motivated, career and customer-oriented CNO Developer to join our team in the Hanover , MD .
Responsibility include, but are not limited too:
Expert knowledge of multiple programming languages such as C/C++, assembly (e.g. x86, ARM, MIPS), Python, or PERL.
Familiar with multiple software development methodologies (e.g. Scrum, TDD, Waterfall).
Expert level knowledge of security concepts, networks, device drivers, & system internals are applied in daily tasks.
Expert knowledge in at least one technology area (e.g. Windows, Unix, Mobile, Network devices).
Communicates status with leadership and customers. Contributes to the completion of milestones associated with specific projects.
Provides solutions to a variety of complex technical problems.
Determines computer user needs; analyzes system capabilities to resolve problems on program intent, output requirements, input data acquisition, programming.
Ensures software standards are met. Leads the design, development, documenting, testing and debugging of applications software and systems that contain logical and mathematical solutions.
Able to lead a project developing hardware or software based CNO capabilities providing direction to other CNO developers.
Plans and conducts assignments, generally involving the larger and more important projects or more than one project.
Required:
Seven to nine years of relevant work experience.
Proficient C programming skills
Software Analysis/Reverse Engineering experience
Embedded systems development experience
Understand assembly programming concepts
Bachelors Degree
Clearance Required:
TS/SCI with Polygraph
Desired:
Experience working with networking (TCP/IP)
Python experience
Unit Test experience
Experience using Jenkins Continuous Integration Server
ManTech International Corporation, as well as its subsidiaries proactively fulfills its role as an equal opportunity employer. We do not discriminate against any employee or applicant for employment because of race, color, sex, religion, age, sexual orientation, gender identity and expression, national origin, marital status, physical or mental disability, status as a Disabled Veteran, Recently Separated Veteran, Active Duty Wartime or Campaign Badge Veteran, Armed Forces Services Medal, or any other characteristic protected by law.
If you require a reasonable accommodation to apply for a position with ManTech through its online applicant system, please contact ManTech's Corporate EEO Department at (703) 218-6000. ManTech is an affirmative action/equal opportunity employer - minorities, females, disabled and protected veterans are urged to apply. ManTech's utilization of any external recruitment or job placement agency is predicated upon its full compliance with our equal opportunity/affirmative action policies. ManTech does not accept resumes from unsolicited recruiting firms. We pay no fees for unsolicited services.
If you are a qualified individual with a disability or a disabled veteran, you have the right to request an accommodation if you are unable or limited in your ability to use or access http://www.mantech.com/careers/Pages/careers.aspx as a result of your disability. To request an accommodation please click careers@mantech.com and provide your name and contact information.",4.3,"ManTech International Corporation
4.3","Hanover, MD",5001 to 10000 Employees,1968,Company - Public,Research & Development,Business Services,$1 to $2 billion (USD),0,0,70,142,106.0,"ManTech International Corporation
", MD,52,0,0,0,0,0,0,1,1
Senior Software Engineer,$47K-$101K (Glassdoor est.),"Minimum Qualifications
Bachelor’s degree in computer science, information technology, or a related field or equivalent experience
Preferred Qualifications
2 years of experience in programming in Angular, Cocoa, Objective C, C#, HTML, .NET, PHP, Java, Progress or other programming languages
2 years of experience in software testing and design
2 years of experience in database management as it relates to software development
Proficiency in the Microsoft Office Suite
Job Summary
The Software Engineer will use various programming languages to develop, improve, test and/or maintain software that meets user needs.
Responsibilities
Design, develop or modify software by using various programming languages depending on the need of the product(s)
Modify existing software to fix errors, improve the overall quality and functionality or update integrations with other software
Analyze user needs to determine how software should be built or if existing software should be modified
Develop and/or perform software automated testing procedures, solutions and frameworks to ensure software functions as needed
Translate business requirements and specifications into usable and scalable software
Process and understand capabilities and limitations of data outputs from the software
Participate in design and code reviews
Assist with delivery estimates
Determine and execute software deployment process
Disclaimer
This is an outline of the primary responsibilities of this position. As with everything in life, things change. The tasks and responsibilities can be changed, added to, removed, amended, deleted and modified at any time by the leadership group.",3.8,"Quicken Loans
3.8","Detroit, MI",10000+ Employees,1985,Company - Private,Lending,Finance,$10+ billion (USD),0,0,47,101,74.0,"Quicken Loans
", MI,35,0,0,0,1,0,1,0,0
Software Design Engineer,$89K-$117K (Glassdoor est.),"Job Description:
Torch Technologies is seeking a Software Engineer to join a team creating software for aviation health and usage monitoring, diagnostics, and prognostics. The position will require development of graphical user interfaces (GUI)s, data processing routines, analytical algorithms, and some database design and automation. Experience writing Microsoft Windows-based software and optimization of software through modern object-oriented design patterns (e.g. MVVM) and application of technologies such as Windows Presentation Foundation (WPF) is strongly preferred. Candidate will have the opportunity to develop frameworks supporting multiple manned and unmanned aviation platforms. Qualified applicants will have good programming skills, be able to work independently, and take a proactive role to assure that task responsibilities are completed on schedule.

Candidate will be responsible for:
Designing and developing solutions with the latest .NET framework using C# programming language and Visual Studio
Troubleshooting production issues
Conducting and participating in design discussions and code reviews
Managing source code and builds in Team Foundation Server
Collaborating with cross functional teams to review and analyze system requirements
Creating technical documentation for internal and external clients that accurately describe the configuration of technology utilized to implement a solution



Basic Qualifications
Bachelor's degree in Computer Science, Computer Engineering, or other technical discipline
5+ years of software development experience
Experience in WPF, WCF using C# .NET 4.0 or above and Entity Framework
Experience with ASP.NET is a plus
Preferred Knowledge/Skills/Abilities
Experience developing Cloud applications with API management and distributed microservices based architecture.
Previous experience providing application support, development
Agile methodologies (e.g., SCRUM, Kanban)
Relational Database Management Systems & Database Modeling Fundamentals (SQL Server 2012+, Oracle, SQLITE3, MySQL, SQL, PL/SQL, T-SQL)
Client Server System Administration Fundamentals (e.g., PowerShell, system monitoring)
Position requires that candidate possess a current security clearance in order to access classified information and is a US citizen. Inability to maintain a security clearance will result in candidate being ineligible for this position.",4.6,"Torch Technologies, Inc.
4.6","Huntsville, AL",1001 to 5000 Employees,2002,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),0,0,89,117,103.0,"Torch Technologies, Inc.
", AL,18,0,0,0,0,0,0,0,0
CONTRACT - Software Engineer (Analytics) (NTD),$60K-$122K (Glassdoor est.),"Nintendo Technology Development

The worldwide pioneer in the creation of interactive entertainment, Nintendo Co., Ltd., of Kyoto, Japan, manufactures and markets hardware and software for its Nintendo Switch ™ system and the Nintendo 3DS ™ family of portable systems. Since 1983, when it launched the Nintendo Entertainment System ™ , Nintendo has sold more than 4.7 billion video games and more than 740 million hardware units globally, including Nintendo Switch and the Nintendo 3DS family of systems, as well as the Game Boy ™ , Game Boy Advance, Nintendo DS ™ family of systems, Super NES ™ , Nintendo 64 ™ , Nintendo GameCube ™ , Wii ™ and Wii U ™ systems. It has also created industry icons that have become well-known, household names, such as Mario, Donkey Kong, Metroid, Zelda and Pokémon. A wholly owned subsidiary, Nintendo Technology Development, based in Redmond, Washington, creates future hardware/software technology and researches North American-based technologies.

As a Software Engineer in Analytics you’ll be working with a team of talented engineers and data scientists and be responsible for the implementation and maintenance of a data ingestion, storage, and visualization platform.

DESCRIPTION OF DUTIES
Design, implement, and test internal libraries and cloud-based infrastructure
Triage incoming issues and resolve defects in a timely manner
Work with project managers to gather and document functional requirements
Effectively and proactively document work
Works with Nintendo’s global technical teams on project priorities

SUMMARY OF REQUIREMENTS
3 – 5 years of experience developing software using C#
Working knowledge SQL and the ability to write queries
Solid experience with AWS including
Lambda Functions
Kinesis Streams and Kinesis Firehose
S3 Storage
Excellent verbal and written communication skills
Experience with Python, C++, JavaScript, and/or container services (i.e. Docker) is a plus
Legally authorized to work in the US.
We are an equal opportunity employer of individuals with disabilities and protected veterans....valuing diversity…celebrating strengths.",4.1,"Nintendo of America Inc.
4.1","Redmond, WA",5001 to 10000 Employees,-1,Company - Public,Video Games,Media,$10+ billion (USD),0,0,60,122,91.0,"Nintendo of America Inc.
", WA,-1,1,0,0,0,0,0,0,1
Software Developer - Web,$78K-$144K (Glassdoor est.),"Software Developer - Web
Corporate Headquarters
12575 Uline Drive, Pleasant Prairie, WI 53158

Develop custom solutions and enjoy a great career at Uline. Bring your extensive skillset to a place ready to employ every facet of it. Collaborate on customer-facing and internal projects among a team of dedicated fellow developers.

Better together than apart. This position is on-site, and we are looking for good people who share our passion.

Uline is proud to operate as a drug-free workplace. All new hires must complete a pre-employment drug screening.

Position Responsibilities
Apply industry best practices to design, develop, test, deploy, support and maintain complex web applications based on business requirements using approved technologies and coding standards.
Enhance and support e-commerce and mobile sites as well as sales, intranet and internal web applications.
Assist in project planning and architectural design reviews.
Mentor other developers on programming issues.
Work with development team to ensure consistency in processes and completion of deliverables.
Exhibit leadership in cross-functional development practices.
Perform design and code reviews and help maintain code quality, performance and application responsiveness.

Minimum Requirements
Bachelor's degree in information technology, computer science or related field.
5+ years web development experience.
Strong understanding of object-oriented design, web application architecture and relational database design.
Proficient in ASP.NET, MVC, C# and JavaScript with solid understanding of their ecosystem.
Experience using T-SQL with an ability to write SQL queries and stored procedures.
Client-side scripting experience with JavaScript frameworks, such as Angular and jQuery a plus.
Experience with Microsoft Visual Studio (MVS) and SQL Server Management Studio (SSMS).
Experience using Team Foundation Server (TFS) for work management a plus.
Proficient understanding of code versioning tools like Git and CI/CD tools like Jenkins.

Benefits
Complete insurance coverage that includes medical, dental, vision and life insurance, Flexible Spending Accounts and wellness programs.
401(k) with 5% employer match.
Paid holidays and generous paid time off.
Bonus programs include annual performance, sales goals and profit sharing.
Scholarship program for children of employees.

Employee Perks
On-site café with executive chefs and seasonal dinner-to-go options.
First class fitness center with complimentary personal trainers.
Over four miles of beautifully maintained walking trails.
Numerous employee appreciation events throughout the year.
Professional development classes and monthly in-house speakers.

About Uline

Uline is the leading distributor of shipping, industrial and packaging materials to businesses throughout North America. We're a family-owned company whose incredible service, huge inventory and quality products fuel our ongoing expansion and growth. We offer same-day shipping on over 37,500 products in our 812-page catalog and on our state-of-the-art e-commerce website.

Uline provides the essential supplies needed to keep organizations operational and productive. To protect the health and safety of our employees, we have modified our normal operating policies in response to COVID-19.

Each resume submitted gets individually reviewed by our team and retained for 24 months in case a great opportunity opens for you to join our Uline family.

Unfortunately, Uline is unable to offer US work sponsorship at this time.

EEO/AA Employer/Vet/Disabled

#LI-SN1
#ZR
#CORP",3.6,"Uline
3.6","Pleasant Prairie, WI",5001 to 10000 Employees,1980,Company - Private,Wholesale,Business Services,Unknown / Non-Applicable,0,0,78,144,111.0,"Uline
", WI,40,1,0,0,1,0,0,0,0
